,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
1849,132,1.0,0,1,1,6,5,2,2.0,4,6,140.0,1,0.13,1,29.0,2.0,18.6,16.28,18.6,18.6,11.63,16.28,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,27.0,Finance,8.0,2.0,10.0,1.0,Los Angeles,"96,822",1.0,7.0,2.0,Asset Management,7.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67,10.0,7.0,7.0,7.0,5.0,7.0,22.73,15.91,13.64,15.91,13.64,18.18,8.0,10.0,10.0,9.0,10.0,1,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,1.0,0.0,7.0,1.0,1.0,15.79,17.54,15.79,17.54,17.54,15.79,8.0,10.0,10.0,7.0,9.0,7.0,18.87,15.09,13.21,18.87,15.09,18.87,9.0,10.0,8.0,10.0,10.0
1886,140,6.0,1,9,1,6,5,2,4.0,4,1,132.0,1,0.13,1,27.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,1.0,29.0,MBA,8.0,2.0,5.0,5.0,Europe,"10,025",1.0,5.0,2.0,Investment Banking,7.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,6.0,18.6,16.28,18.6,18.6,11.63,16.28,7.0,9.0,8.0,7.0,7.0,9.0,15.56,17.78,17.78,15.56,15.56,17.78,7.0,7.0,9.0,8.0,8.0,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,6.0,1.0,3.0,20.51,15.38,17.95,17.95,12.82,15.38,7.0,7.0,7.0,7.0,6.0,7.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,7.0,7.0,7.0,7.0
1978,147,6.0,0,11,2,7,16,3,3.0,1,3,160.0,1,0.25,0,29.0,1.0,16.0,18.0,18.0,18.0,14.0,16.0,1,8.0,10.0,9.0,8.0,8.0,7.0,6.0,8.0,1.0,26.0,Business,8.0,4.0,3.0,3.0,New York,"10,014",5.0,5.0,1.0,Business,7.0,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,5.0,18.0,18.0,20.0,18.0,16.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,25.0,12.5,12.5,25.0,12.5,12.5,8.0,7.0,8.0,9.0,7.0,1,8.0,6.0,7.0,8.0,9.0,7.0,8.0,10.0,1.0,7.0,4.0,3.0,2.0,18.75,16.67,18.75,16.67,16.67,12.5,10.0,6.0,6.0,9.0,6.0,6.0,23.26,13.95,13.95,20.93,13.95,13.95,8.0,8.0,9.0,9.0,8.0
1983,147,6.0,0,11,2,7,16,3,3.0,8,8,165.0,1,0.66,0,30.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75,1,7.0,8.0,8.0,10.0,8.0,5.0,8.0,4.0,2.0,26.0,Business,8.0,4.0,3.0,3.0,New York,"10,014",5.0,5.0,1.0,Business,7.0,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,5.0,18.0,18.0,20.0,18.0,16.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,25.0,12.5,12.5,25.0,12.5,12.5,8.0,7.0,8.0,9.0,7.0,1,7.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,0.0,7.0,4.0,3.0,2.0,18.75,16.67,18.75,16.67,16.67,12.5,10.0,6.0,6.0,9.0,6.0,6.0,23.26,13.95,13.95,20.93,13.95,13.95,8.0,8.0,9.0,9.0,8.0
2033,150,9.0,0,17,2,7,16,8,8.0,15,10,167.0,1,0.39,1,23.0,2.0,18.6,13.95,18.6,16.28,16.28,16.28,1,7.0,5.0,6.0,7.0,5.0,4.0,6.0,5.0,2.0,31.0,History of Religion,7.0,2.0,3.0,3.0,NYC,"10,021",4.0,5.0,2.0,professor,2.0,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,5.0,12.0,20.0,20.0,20.0,14.0,14.0,7.0,7.0,6.0,5.0,5.0,5.0,25.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,8.0,9.0,8.0,1,7.0,7.0,8.0,8.0,8.0,8.0,7.0,5.0,0.0,1.0,6.0,1.0,2.0,14.0,18.0,18.0,18.0,16.0,16.0,9.0,4.0,4.0,7.0,7.0,7.0,23.81,11.9,14.29,16.67,16.67,16.67,6.0,9.0,9.0,8.0,7.0
2063,152,11.0,0,21,2,7,16,12,12.0,1,8,165.0,1,0.62,0,30.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75,1,8.0,9.0,10.0,5.0,9.0,5.0,7.0,4.0,2.0,27.0,Political Science,13.0,4.0,2.0,3.0,China,0,1.0,4.0,3.0,professor,2.0,4.0,1.0,4.0,8.0,9.0,8.0,5.0,5.0,7.0,10.0,5.0,9.0,10.0,9.0,9.0,7.0,1.0,5.0,14.0,20.0,20.0,14.0,18.0,14.0,7.0,9.0,7.0,7.0,7.0,5.0,24.32,13.51,13.51,24.32,8.11,16.22,7.0,9.0,8.0,10.0,8.0,1,8.0,8.0,7.0,8.0,8.0,9.0,9.0,6.0,0.0,1.0,4.0,3.0,3.0,16.67,18.75,18.75,14.58,16.67,14.58,6.0,9.0,7.0,8.0,7.0,6.0,23.26,13.95,16.28,20.93,11.63,13.95,8.0,7.0,9.0,8.0,8.0
2077,153,12.0,0,23,2,7,16,11,11.0,1,6,163.0,1,0.49,0,26.0,2.0,12.0,20.0,20.0,20.0,16.0,12.0,1,8.0,10.0,8.0,8.0,8.0,6.0,8.0,5.0,2.0,28.0,Modern Chinese Literature,7.0,4.0,1.0,1.0,China,"136,300",2.0,6.0,3.0,professor,2.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,6.0,7.0,9.0,7.0,7.0,8.0,5.0,6.0,9.76,19.51,19.51,14.63,19.51,17.07,7.0,8.0,8.0,8.0,8.0,7.0,23.53,17.65,14.71,14.71,14.71,14.71,7.0,7.0,6.0,7.0,6.0,1,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,0.0,4.0,5.0,1.0,3.0,13.95,16.28,18.6,16.28,18.6,16.28,7.0,7.0,8.0,7.0,8.0,7.0,20.51,17.95,15.38,15.38,15.38,15.38,7.0,7.0,7.0,7.0,7.0
2122,156,15.0,0,29,2,7,16,7,7.0,5,3,160.0,1,-0.03,1,29.0,1.0,16.0,18.0,18.0,18.0,14.0,16.0,1,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,1.0,30.0,Business,8.0,1.0,1.0,1.0,"Atlanta, GA","27,870",2.0,6.0,3.0,Marketing and Media,7.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,6.0,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,10.0,9.0,10.0,1,7.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,1.0,5.0,8.0,3.0,3.0,14.29,16.33,18.37,18.37,18.37,14.29,9.0,8.0,9.0,8.0,9.0,9.0,20.41,14.29,14.29,18.37,14.29,18.37,8.0,9.0,9.0,9.0,10.0
2125,156,15.0,0,29,2,7,16,7,7.0,13,6,163.0,1,0.21,0,26.0,2.0,12.0,20.0,20.0,20.0,16.0,12.0,1,8.0,9.0,9.0,8.0,8.0,8.0,8.0,6.0,2.0,30.0,Business,8.0,1.0,1.0,1.0,"Atlanta, GA","27,870",2.0,6.0,3.0,Marketing and Media,7.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,6.0,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,10.0,9.0,10.0,1,6.0,9.0,10.0,7.0,10.0,8.0,7.0,6.0,0.0,5.0,8.0,3.0,3.0,14.29,16.33,18.37,18.37,18.37,14.29,9.0,8.0,9.0,8.0,9.0,9.0,20.41,14.29,14.29,18.37,14.29,18.37,8.0,9.0,9.0,9.0,10.0
2135,156,15.0,0,29,2,7,16,7,7.0,8,16,173.0,1,-0.15,0,22.0,2.0,18.37,18.37,20.41,20.41,16.33,6.12,1,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,2.0,30.0,Business,8.0,1.0,1.0,1.0,"Atlanta, GA","27,870",2.0,6.0,3.0,Marketing and Media,7.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,6.0,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,8.0,10.0,10.0,9.0,10.0,1,6.0,9.0,10.0,9.0,9.0,7.0,8.0,7.0,0.0,5.0,8.0,3.0,3.0,14.29,16.33,18.37,18.37,18.37,14.29,9.0,8.0,9.0,8.0,9.0,9.0,20.41,14.29,14.29,18.37,14.29,18.37,8.0,9.0,9.0,9.0,10.0
